city,year,weekofyear,total_cases
sj,1990,18,27
sj,1990,19,27
sj,1990,20,27
sj,1990,21,27
sj,1990,22,27
sj,1990,23,27
sj,1990,24,27
sj,1990,25,27
sj,1990,26,27
sj,1990,27,27
sj,1990,28,27
sj,1990,29,20
sj,1990,30,27
sj,1990,31,27
sj,1990,32,27
sj,1990,33,57
sj,1990,34,27
sj,1990,35,20
sj,1990,36,27
sj,1990,37,57
sj,1990,38,27
sj,1990,39,27
sj,1990,40,27
sj,1990,41,57
sj,1990,42,27
sj,1990,43,27
sj,1990,44,20
sj,1990,45,27
sj,1990,46,20
sj,1990,47,20
sj,1990,48,27
sj,1990,49,27
sj,1990,50,27
sj,1990,51,20
sj,1990,52,20
sj,1991,1,27
sj,1991,2,20
sj,1991,3,20
sj,1991,4,20
sj,1991,5,27
sj,1991,6,20
sj,1991,7,27
sj,1991,8,27
sj,1991,9,27
sj,1991,10,27
sj,1991,11,27
sj,1991,12,27
sj,1991,13,20
sj,1991,14,27
sj,1991,15,27
sj,1991,16,27
sj,1991,17,27
sj,1991,18,27
sj,1991,19,27
sj,1991,20,27
sj,1991,21,27
sj,1991,22,27
sj,1991,23,27
sj,1991,24,27
sj,1991,25,27
sj,1991,26,27
sj,1991,27,27
sj,1991,28,27
sj,1991,29,27
sj,1991,30,27
sj,1991,31,27
sj,1991,32,27
sj,1991,33,27
sj,1991,34,27
sj,1991,35,27
sj,1991,36,27
sj,1991,37,27
sj,1991,38,57
sj,1991,39,27
sj,1991,40,27
sj,1991,41,27
sj,1991,42,27
sj,1991,43,27
sj,1991,44,27
sj,1991,45,27
sj,1991,46,27
sj,1991,47,27
sj,1991,48,27
sj,1991,49,27
sj,1991,50,27
sj,1991,51,27
sj,1991,52,27
sj,1992,1,27
sj,1992,2,27
sj,1992,3,27
sj,1992,4,27
sj,1992,5,27
sj,1992,6,27
sj,1992,7,27
sj,1992,8,27
sj,1992,9,27
sj,1992,10,27
sj,1992,11,27
sj,1992,12,27
sj,1992,13,27
sj,1992,14,27
sj,1992,15,27
sj,1992,16,27
sj,1992,17,27
sj,1992,18,27
sj,1992,19,27
sj,1992,20,27
sj,1992,21,27
sj,1992,22,27
sj,1992,23,27
