city,year,weekofyear,total_cases
sj,1990,18,15
sj,1990,19,21
sj,1990,20,21
sj,1990,21,18
sj,1990,22,15
sj,1990,23,23
sj,1990,24,23
sj,1990,25,23
sj,1990,26,23
sj,1990,27,26
sj,1990,28,23
sj,1990,29,18
sj,1990,30,23
sj,1990,31,22
sj,1990,32,21
sj,1990,33,28
sj,1990,34,23
sj,1990,35,28
sj,1990,36,22
sj,1990,37,32
sj,1990,38,23
sj,1990,39,23
sj,1990,40,27
sj,1990,41,28
sj,1990,42,23
sj,1990,43,23
sj,1990,44,23
sj,1990,45,21
sj,1990,46,23
sj,1990,47,18
sj,1990,48,23
sj,1990,49,23
sj,1990,50,15
sj,1990,51,15
sj,1990,52,21
sj,1991,1,18
sj,1991,2,23
sj,1991,3,23
sj,1991,4,18
sj,1991,5,15
sj,1991,6,18
sj,1991,7,15
sj,1991,8,18
sj,1991,9,23
sj,1991,10,23
sj,1991,11,15
sj,1991,12,18
sj,1991,13,15
sj,1991,14,21
sj,1991,15,15
sj,1991,16,23
sj,1991,17,21
sj,1991,18,15
sj,1991,19,18
sj,1991,20,18
sj,1991,21,23
sj,1991,22,23
sj,1991,23,15
sj,1991,24,18
sj,1991,25,23
sj,1991,26,23
sj,1991,27,23
sj,1991,28,18
sj,1991,29,18
sj,1991,30,23
sj,1991,31,21
sj,1991,32,23
sj,1991,33,23
sj,1991,34,18
sj,1991,35,26
sj,1991,36,26
sj,1991,37,15
sj,1991,38,27
sj,1991,39,23
sj,1991,40,23
sj,1991,41,23
sj,1991,42,21
sj,1991,43,15
sj,1991,44,15
sj,1991,45,15
sj,1991,46,23
sj,1991,47,23
sj,1991,48,23
sj,1991,49,23
sj,1991,50,23
sj,1991,51,23
sj,1991,52,23
sj,1992,1,21
sj,1992,2,21
sj,1992,3,23
sj,1992,4,21
sj,1992,5,18
sj,1992,6,15
sj,1992,7,23
sj,1992,8,15
sj,1992,9,18
sj,1992,10,21
sj,1992,11,18
sj,1992,12,15
sj,1992,13,15
sj,1992,14,15
sj,1992,15,15
sj,1992,16,23
sj,1992,17,15
sj,1992,18,15
sj,1992,19,15
sj,1992,20,23
sj,1992,21,15
sj,1992,22,21
sj,1992,23,23
sj,1992,24,23
sj,1992,25,23
sj,1992,26,23
sj,1992,27,23
sj,1992,28,15
sj,1992,29,23
sj,1992,30,23
sj,1992,31,23
sj,1992,32,18
sj,1992,33,23
sj,1992,34,23
sj,1992,35,18
sj,1992,36,23
sj,1992,37,23
sj,1992,38,21
sj,1992,39,23
sj,1992,40,21
sj,1992,41,15
sj,1992,42,15
sj,1992,43,18
sj,1992,44,15
sj,1992,45,23
sj,1992,46,18
sj,1992,47,23
sj,1992,48,23
sj,1992,49,23
sj,1992,50,23
sj,1992,51,15
sj,1992,52,23
sj,1993,53,23
sj,1993,1,23
sj,1993,2,23
sj,1993,3,23
sj,1993,4,23
sj,1993,5,23
sj,1993,6,21
sj,1993,7,18
sj,1993,8,15
sj,1993,9,15
sj,1993,10,18
sj,1993,11,15
sj,1993,12,23
sj,1993,13,23
sj,1993,14,21
sj,1993,15,15
sj,1993,16,15
sj,1993,17,18
sj,1993,18,23
sj,1993,19,18
sj,1993,20,23
sj,1993,21,26
sj,1993,22,23
sj,1993,23,25
sj,1993,24,23
sj,1993,25,23
sj,1993,26,23
sj,1993,27,23
sj,1993,28,18
sj,1993,29,18
sj,1993,30,23
sj,1993,31,26
sj,1993,32,21
sj,1993,33,23
sj,1993,34,21
sj,1993,35,23
sj,1993,36,23
sj,1993,37,23
sj,1993,38,15
sj,1993,39,26
sj,1993,40,23
sj,1993,41,23
sj,1993,42,23
sj,1993,43,23
sj,1993,44,21
sj,1993,45,23
sj,1993,46,23
sj,1993,47,23
sj,1993,48,23
sj,1993,49,21
sj,1993,50,18
sj,1993,51,18
sj,1994,52,18
sj,1994,1,23
sj,1994,2,23
sj,1994,3,23
sj,1994,4,21
sj,1994,5,23
sj,1994,6,23
sj,1994,7,21
sj,1994,8,21
sj,1994,9,18
sj,1994,10,18
sj,1994,11,18
sj,1994,12,15
sj,1994,13,18
sj,1994,14,18
sj,1994,15,23
sj,1994,16,23
sj,1994,17,15
sj,1994,18,15
sj,1994,19,23
sj,1994,20,23
sj,1994,21,15
sj,1994,22,21
sj,1994,23,18
sj,1994,24,18
sj,1994,25,23
sj,1994,26,15
sj,1994,27,23
sj,1994,28,23
sj,1994,29,21
sj,1994,30,18
sj,1994,31,23
sj,1994,32,21
sj,1994,33,18
sj,1994,34,15
sj,1994,35,18
sj,1994,36,15
sj,1994,37,18
sj,1994,38,23
sj,1994,39,15
sj,1994,40,15
sj,1994,41,117
sj,1994,42,117
sj,1994,43,23
sj,1994,44,21
sj,1994,45,23
sj,1994,46,23
sj,1994,47,18
sj,1994,48,23
sj,1994,49,23
sj,1994,50,21
sj,1994,51,15
sj,1995,52,15
sj,1995,1,21
sj,1995,2,21
sj,1995,3,23
sj,1995,4,15
sj,1995,5,23
sj,1995,6,9
sj,1995,7,15
sj,1995,8,23
sj,1995,9,18
sj,1995,10,23
sj,1995,11,23
sj,1995,12,15
sj,1995,13,4
sj,1995,14,15
sj,1995,15,15
sj,1995,16,15
sj,1995,17,15
sj,1995,18,15
sj,1995,19,15
sj,1995,20,15
sj,1995,21,21
sj,1995,22,23
sj,1995,23,23
sj,1995,24,21
sj,1995,25,23
sj,1995,26,20
sj,1995,27,22
sj,1995,28,23
sj,1995,29,20
sj,1995,30,28
sj,1995,31,28
sj,1995,32,23
sj,1995,33,32
sj,1995,34,26
sj,1995,35,26
sj,1995,36,57
sj,1995,37,28
sj,1995,38,28
sj,1995,39,26
sj,1995,40,26
sj,1995,41,23
sj,1995,42,23
sj,1995,43,21
sj,1995,44,15
sj,1995,45,23
sj,1995,46,18
sj,1995,47,23
sj,1995,48,23
sj,1995,49,23
sj,1995,50,23
sj,1995,51,23
sj,1996,1,23
sj,1996,2,18
sj,1996,3,23
sj,1996,4,23
sj,1996,5,23
sj,1996,6,23
sj,1996,7,23
sj,1996,8,15
sj,1996,9,21
sj,1996,10,18
sj,1996,11,23
sj,1996,12,18
sj,1996,13,15
sj,1996,14,18
sj,1996,15,18
sj,1996,16,21
sj,1996,17,21
sj,1996,18,23
sj,1996,19,23
sj,1996,20,23
sj,1996,21,18
sj,1996,22,15
sj,1996,23,23
sj,1996,24,23
sj,1996,25,23
sj,1996,26,23
sj,1996,27,23
sj,1996,28,23
sj,1996,29,23
sj,1996,30,21
sj,1996,31,23
sj,1996,32,23
sj,1996,33,15
sj,1996,34,23
sj,1996,35,18
sj,1996,36,27
sj,1996,37,23
sj,1996,38,26
sj,1996,39,28
sj,1996,40,23
sj,1996,41,18
sj,1996,42,23
sj,1996,43,20
sj,1996,44,23
sj,1996,45,23
sj,1996,46,23
sj,1996,47,23
sj,1996,48,23
sj,1996,49,23
sj,1996,50,15
sj,1996,51,23
sj,1996,52,18
sj,1997,1,21
sj,1997,2,21
sj,1997,3,23
sj,1997,4,15
sj,1997,5,23
sj,1997,6,23
sj,1997,7,23
sj,1997,8,23
sj,1997,9,23
sj,1997,10,23
sj,1997,11,23
sj,1997,12,23
sj,1997,13,15
sj,1997,14,15
sj,1997,15,21
sj,1997,16,15
sj,1997,17,6
sj,1997,18,15
sj,1997,19,15
sj,1997,20,18
sj,1997,21,18
sj,1997,22,15
sj,1997,23,23
sj,1997,24,15
sj,1997,25,15
sj,1997,26,23
sj,1997,27,15
sj,1997,28,18
sj,1997,29,18
sj,1997,30,23
sj,1997,31,15
sj,1997,32,23
sj,1997,33,18
sj,1997,34,26
sj,1997,35,26
sj,1997,36,26
sj,1997,37,71
sj,1997,38,32
sj,1997,39,18
sj,1997,40,28
sj,1997,41,27
sj,1997,42,27
sj,1997,43,15
sj,1997,44,15
sj,1997,45,23
sj,1997,46,23
sj,1997,47,23
sj,1997,48,23
sj,1997,49,23
sj,1997,50,15
sj,1997,51,18
sj,1997,52,18
sj,1998,1,23
sj,1998,2,23
sj,1998,3,23
sj,1998,4,18
sj,1998,5,21
sj,1998,6,15
sj,1998,7,15
sj,1998,8,23
sj,1998,9,21
sj,1998,10,15
sj,1998,11,23
sj,1998,12,18
sj,1998,13,18
sj,1998,14,18
sj,1998,15,15
sj,1998,16,23
sj,1998,17,23
sj,1998,18,21
sj,1998,19,23
sj,1998,20,117
sj,1998,21,32
sj,1998,22,28
sj,1998,23,21
sj,1998,24,74
sj,1998,25,25
sj,1998,26,28
sj,1998,27,26
sj,1998,28,32
sj,1998,29,15
sj,1998,30,23
sj,1998,31,28
sj,1998,32,32
sj,1998,33,78
sj,1998,34,78
sj,1998,35,78
sj,1998,36,32
sj,1998,37,28
sj,1998,38,32
sj,1998,39,28
sj,1998,40,22
sj,1998,41,32
sj,1998,42,22
sj,1998,43,26
sj,1998,44,26
sj,1998,45,28
sj,1998,46,23
sj,1998,47,23
sj,1998,48,23
sj,1998,49,23
sj,1998,50,23
sj,1998,51,23
sj,1998,52,23
sj,1999,53,18
sj,1999,1,18
sj,1999,2,23
sj,1999,3,23
sj,1999,4,23
sj,1999,5,23
sj,1999,6,23
sj,1999,7,18
sj,1999,8,15
sj,1999,9,15
sj,1999,10,18
sj,1999,11,15
sj,1999,12,15
sj,1999,13,21
sj,1999,14,15
sj,1999,15,15
sj,1999,16,15
sj,1999,17,15
sj,1999,18,23
sj,1999,19,15
sj,1999,20,15
sj,1999,21,23
sj,1999,22,15
sj,1999,23,18
sj,1999,24,21
sj,1999,25,23
sj,1999,26,21
sj,1999,27,21
sj,1999,28,18
sj,1999,29,26
sj,1999,30,18
sj,1999,31,28
sj,1999,32,26
sj,1999,33,26
sj,1999,34,26
sj,1999,35,26
sj,1999,36,26
sj,1999,37,32
sj,1999,38,20
sj,1999,39,30
sj,1999,40,26
sj,1999,41,23
sj,1999,42,26
sj,1999,43,28
sj,1999,44,23
sj,1999,45,23
sj,1999,46,23
sj,1999,47,23
sj,1999,48,15
sj,1999,49,23
sj,1999,50,23
sj,1999,51,23
sj,2000,52,15
sj,2000,1,23
sj,2000,2,23
sj,2000,3,23
sj,2000,4,15
sj,2000,5,23
sj,2000,6,23
sj,2000,7,21
sj,2000,8,23
sj,2000,9,18
sj,2000,10,15
sj,2000,11,21
sj,2000,12,21
sj,2000,13,3
sj,2000,14,18
sj,2000,15,15
sj,2000,16,23
sj,2000,17,15
sj,2000,18,18
sj,2000,19,15
sj,2000,20,15
sj,2000,21,15
sj,2000,22,18
sj,2000,23,18
sj,2000,24,21
sj,2000,25,21
sj,2000,26,23
sj,2000,27,21
sj,2000,28,21
sj,2000,29,15
sj,2000,30,21
sj,2000,31,21
sj,2000,32,18
sj,2000,33,23
sj,2000,34,22
sj,2000,35,26
sj,2000,36,20
sj,2000,37,26
sj,2000,38,27
sj,2000,39,23
sj,2000,40,28
sj,2000,41,15
sj,2000,42,30
sj,2000,43,15
sj,2000,44,15
sj,2000,45,15
sj,2000,46,6
sj,2000,47,15
sj,2000,48,21
sj,2000,49,23
sj,2000,50,18
sj,2000,51,23
sj,2001,1,15
sj,2001,2,15
sj,2001,3,15
sj,2001,4,23
sj,2001,5,15
sj,2001,6,23
sj,2001,7,21
sj,2001,8,23
sj,2001,9,23
sj,2001,10,15
sj,2001,11,15
sj,2001,12,18
sj,2001,13,23
sj,2001,14,15
sj,2001,15,21
sj,2001,16,9
sj,2001,17,15
sj,2001,18,15
sj,2001,19,15
sj,2001,20,15
sj,2001,21,22
sj,2001,22,15
sj,2001,23,15
sj,2001,24,15
sj,2001,25,15
sj,2001,26,22
sj,2001,27,15
sj,2001,28,15
sj,2001,29,22
sj,2001,30,22
sj,2001,31,15
sj,2001,32,23
sj,2001,33,32
sj,2001,34,28
sj,2001,35,22
sj,2001,36,27
sj,2001,37,22
sj,2001,38,27
sj,2001,39,22
sj,2001,40,59
sj,2001,41,28
sj,2001,42,15
sj,2001,43,15
sj,2001,44,23
sj,2001,45,15
sj,2001,46,27
sj,2001,47,24
sj,2001,48,15
sj,2001,49,15
sj,2001,50,23
sj,2001,51,23
sj,2001,52,23
sj,2002,1,18
sj,2002,2,15
sj,2002,3,15
sj,2002,4,23
sj,2002,5,23
sj,2002,6,23
sj,2002,7,18
sj,2002,8,15
sj,2002,9,15
sj,2002,10,15
sj,2002,11,23
sj,2002,12,15
sj,2002,13,15
sj,2002,14,15
sj,2002,15,15
sj,2002,16,15
sj,2002,17,18
sj,2002,18,15
sj,2002,19,18
sj,2002,20,18
sj,2002,21,18
sj,2002,22,18
sj,2002,23,15
sj,2002,24,15
sj,2002,25,15
sj,2002,26,18
sj,2002,27,21
sj,2002,28,18
sj,2002,29,15
sj,2002,30,15
sj,2002,31,32
sj,2002,32,27
sj,2002,33,27
sj,2002,34,27
sj,2002,35,38
sj,2002,36,21
sj,2002,37,28
sj,2002,38,59
sj,2002,39,27
sj,2002,40,32
sj,2002,41,20
sj,2002,42,15
sj,2002,43,18
sj,2002,44,15
sj,2002,45,15
sj,2002,46,15
sj,2002,47,15
sj,2002,48,18
sj,2002,49,15
sj,2002,50,23
sj,2002,51,21
sj,2002,52,15
sj,2003,1,23
sj,2003,2,23
sj,2003,3,15
sj,2003,4,15
sj,2003,5,15
sj,2003,6,15
sj,2003,7,21
sj,2003,8,15
sj,2003,9,21
sj,2003,10,15
sj,2003,11,15
sj,2003,12,18
sj,2003,13,9
sj,2003,14,15
sj,2003,15,15
sj,2003,16,15
sj,2003,17,15
sj,2003,18,15
sj,2003,19,15
sj,2003,20,15
sj,2003,21,21
sj,2003,22,18
sj,2003,23,15
sj,2003,24,15
sj,2003,25,18
sj,2003,26,18
sj,2003,27,18
sj,2003,28,18
sj,2003,29,23
sj,2003,30,15
sj,2003,31,26
sj,2003,32,26
sj,2003,33,23
sj,2003,34,15
sj,2003,35,28
sj,2003,36,74
sj,2003,37,32
sj,2003,38,28
sj,2003,39,32
sj,2003,40,45
sj,2003,41,22
sj,2003,42,32
sj,2003,43,27
sj,2003,44,27
sj,2003,45,15
sj,2003,46,26
sj,2003,47,26
sj,2003,48,21
sj,2003,49,23
sj,2003,50,23
sj,2003,51,23
sj,2003,52,15
sj,2004,1,23
sj,2004,2,23
sj,2004,3,23
sj,2004,4,15
sj,2004,5,18
sj,2004,6,15
sj,2004,7,23
sj,2004,8,18
sj,2004,9,15
sj,2004,10,15
sj,2004,11,23
sj,2004,12,18
sj,2004,13,21
sj,2004,14,18
sj,2004,15,15
sj,2004,16,15
sj,2004,17,18
sj,2004,18,18
sj,2004,19,21
sj,2004,20,15
sj,2004,21,23
sj,2004,22,23
sj,2004,23,15
sj,2004,24,21
sj,2004,25,15
sj,2004,26,15
sj,2004,27,15
sj,2004,28,18
sj,2004,29,26
sj,2004,30,15
sj,2004,31,23
sj,2004,32,15
sj,2004,33,22
sj,2004,34,25
sj,2004,35,25
sj,2004,36,15
sj,2004,37,28
sj,2004,38,32
sj,2004,39,32
sj,2004,40,22
sj,2004,41,18
sj,2004,42,27
sj,2004,43,18
sj,2004,44,21
sj,2004,45,18
sj,2004,46,18
sj,2004,47,23
sj,2004,48,23
sj,2004,49,23
sj,2004,50,21
sj,2004,51,23
sj,2004,52,23
sj,2005,53,23
sj,2005,1,23
sj,2005,2,23
sj,2005,3,23
sj,2005,4,15
sj,2005,5,23
sj,2005,6,15
sj,2005,7,15
sj,2005,8,23
sj,2005,9,15
sj,2005,10,6
sj,2005,11,6
sj,2005,12,6
sj,2005,13,15
sj,2005,14,15
sj,2005,15,15
sj,2005,16,9
sj,2005,17,15
sj,2005,18,15
sj,2005,19,15
sj,2005,20,18
sj,2005,21,27
sj,2005,22,78
sj,2005,23,42
sj,2005,24,15
sj,2005,25,45
sj,2005,26,25
sj,2005,27,45
sj,2005,28,25
sj,2005,29,32
sj,2005,30,78
sj,2005,31,59
sj,2005,32,59
sj,2005,33,59
sj,2005,34,42
sj,2005,35,59
sj,2005,36,24
sj,2005,37,59
sj,2005,38,59
sj,2005,39,59
sj,2005,40,32
sj,2005,41,22
sj,2005,42,32
sj,2005,43,32
sj,2005,44,27
sj,2005,45,26
sj,2005,46,23
sj,2005,47,15
sj,2005,48,18
sj,2005,49,15
sj,2005,50,23
sj,2005,51,18
sj,2006,52,23
sj,2006,1,23
sj,2006,2,18
sj,2006,3,18
sj,2006,4,23
sj,2006,5,23
sj,2006,6,23
sj,2006,7,15
sj,2006,8,21
sj,2006,9,15
sj,2006,10,15
sj,2006,11,15
sj,2006,12,15
sj,2006,13,15
sj,2006,14,15
sj,2006,15,15
sj,2006,16,15
sj,2006,17,15
sj,2006,18,15
sj,2006,19,21
sj,2006,20,15
sj,2006,21,15
sj,2006,22,15
sj,2006,23,22
sj,2006,24,22
sj,2006,25,54
sj,2006,26,32
sj,2006,27,15
sj,2006,28,27
sj,2006,29,18
sj,2006,30,20
sj,2006,31,25
sj,2006,32,22
sj,2006,33,27
sj,2006,34,32
sj,2006,35,32
sj,2006,36,27
sj,2006,37,27
sj,2006,38,42
sj,2006,39,42
sj,2006,40,38
sj,2006,41,28
sj,2006,42,27
sj,2006,43,27
sj,2006,44,32
sj,2006,45,15
sj,2006,46,18
sj,2006,47,15
sj,2006,48,15
sj,2006,49,23
sj,2006,50,23
sj,2006,51,23
sj,2007,1,23
sj,2007,2,23
sj,2007,3,15
sj,2007,4,23
sj,2007,5,9
sj,2007,6,18
sj,2007,7,15
sj,2007,8,15
sj,2007,9,15
sj,2007,10,15
sj,2007,11,15
sj,2007,12,15
sj,2007,13,18
sj,2007,14,23
sj,2007,15,15
sj,2007,16,15
sj,2007,17,15
sj,2007,18,23
sj,2007,19,15
sj,2007,20,22
sj,2007,21,15
sj,2007,22,22
sj,2007,23,22
sj,2007,24,25
sj,2007,25,24
sj,2007,26,22
sj,2007,27,22
sj,2007,28,22
sj,2007,29,22
sj,2007,30,27
sj,2007,31,22
sj,2007,32,59
sj,2007,33,32
sj,2007,34,27
sj,2007,35,22
sj,2007,36,38
sj,2007,37,38
sj,2007,38,38
sj,2007,39,22
sj,2007,40,61
sj,2007,41,27
sj,2007,42,38
sj,2007,43,18
sj,2007,44,15
sj,2007,45,23
sj,2007,46,117
sj,2007,47,18
sj,2007,48,23
sj,2007,49,23
sj,2007,50,18
sj,2007,51,21
sj,2007,52,15
sj,2008,1,23
sj,2008,2,23
sj,2008,3,15
sj,2008,4,23
sj,2008,5,15
sj,2008,6,23
sj,2008,7,23
sj,2008,8,23
sj,2008,9,21
sj,2008,10,15
sj,2008,11,23
sj,2008,12,6
sj,2008,13,15
sj,2008,14,15
sj,2008,15,23
sj,2008,16,15
sj,2008,17,6
iq,2000,26,2
iq,2000,27,2
iq,2000,28,2
iq,2000,29,2
iq,2000,30,2
iq,2000,31,3
iq,2000,32,4
iq,2000,33,4
iq,2000,34,4
iq,2000,35,4
iq,2000,36,4
iq,2000,37,4
iq,2000,38,4
iq,2000,39,4
iq,2000,40,4
iq,2000,41,4
iq,2000,42,3
iq,2000,43,4
iq,2000,44,3
iq,2000,45,4
iq,2000,46,4
iq,2000,47,4
iq,2000,48,4
iq,2000,49,4
iq,2000,50,4
iq,2000,51,4
iq,2001,1,6
iq,2001,2,3
iq,2001,3,4
iq,2001,4,1
iq,2001,5,2
iq,2001,6,1
iq,2001,7,2
iq,2001,8,2
iq,2001,9,4
iq,2001,10,6
iq,2001,11,4
iq,2001,12,4
iq,2001,13,5
iq,2001,14,2
iq,2001,15,5
iq,2001,16,5
iq,2001,17,4
iq,2001,18,4
iq,2001,19,5
iq,2001,20,6
iq,2001,21,4
iq,2001,22,4
iq,2001,23,2
iq,2001,24,2
iq,2001,25,2
iq,2001,26,2
iq,2001,27,1
iq,2001,28,2
iq,2001,29,3
iq,2001,30,3
iq,2001,31,3
iq,2001,32,3
iq,2001,33,4
iq,2001,34,3
iq,2001,35,4
iq,2001,36,3
iq,2001,37,3
iq,2001,38,4
iq,2001,39,4
iq,2001,40,4
iq,2001,41,4
iq,2001,42,4
iq,2001,43,6
iq,2001,44,3
iq,2001,45,5
iq,2001,46,6
iq,2001,47,6
iq,2001,48,4
iq,2001,49,5
iq,2001,50,6
iq,2001,51,6
iq,2001,52,6
iq,2002,1,5
iq,2002,2,6
iq,2002,3,4
iq,2002,4,4
iq,2002,5,8
iq,2002,6,2
iq,2002,7,6
iq,2002,8,8
iq,2002,9,8
iq,2002,10,6
iq,2002,11,8
iq,2002,12,6
iq,2002,13,4
iq,2002,14,6
iq,2002,15,6
iq,2002,16,6
iq,2002,17,6
iq,2002,18,7
iq,2002,19,8
iq,2002,20,8
iq,2002,21,5
iq,2002,22,7
iq,2002,23,2
iq,2002,24,6
iq,2002,25,4
iq,2002,26,2
iq,2002,27,2
iq,2002,28,2
iq,2002,29,2
iq,2002,30,4
iq,2002,31,4
iq,2002,32,4
iq,2002,33,4
iq,2002,34,2
iq,2002,35,4
iq,2002,36,4
iq,2002,37,4
iq,2002,38,4
iq,2002,39,4
iq,2002,40,4
iq,2002,41,4
iq,2002,42,4
iq,2002,43,3
iq,2002,44,6
iq,2002,45,6
iq,2002,46,6
iq,2002,47,6
iq,2002,48,5
iq,2002,49,6
iq,2002,50,8
iq,2002,51,8
iq,2002,52,8
iq,2003,1,6
iq,2003,2,5
iq,2003,3,6
iq,2003,4,4
iq,2003,5,4
iq,2003,6,7
iq,2003,7,2
iq,2003,8,7
iq,2003,9,6
iq,2003,10,6
iq,2003,11,4
iq,2003,12,6
iq,2003,13,6
iq,2003,14,5
iq,2003,15,8
iq,2003,16,4
iq,2003,17,6
iq,2003,18,5
iq,2003,19,2
iq,2003,20,1
iq,2003,21,2
iq,2003,22,5
iq,2003,23,6
iq,2003,24,5
iq,2003,25,2
iq,2003,26,2
iq,2003,27,1
iq,2003,28,4
iq,2003,29,4
iq,2003,30,1
iq,2003,31,4
iq,2003,32,4
iq,2003,33,4
iq,2003,34,4
iq,2003,35,3
iq,2003,36,4
iq,2003,37,3
iq,2003,38,4
iq,2003,39,4
iq,2003,40,3
iq,2003,41,5
iq,2003,42,6
iq,2003,43,6
iq,2003,44,4
iq,2003,45,4
iq,2003,46,4
iq,2003,47,6
iq,2003,48,6
iq,2003,49,6
iq,2003,50,6
iq,2003,51,6
iq,2003,52,2
iq,2004,1,6
iq,2004,2,6
iq,2004,3,6
iq,2004,4,6
iq,2004,5,4
iq,2004,6,4
iq,2004,7,6
iq,2004,8,4
iq,2004,9,6
iq,2004,10,6
iq,2004,11,5
iq,2004,12,5
iq,2004,13,6
iq,2004,14,8
iq,2004,15,6
iq,2004,16,5
iq,2004,17,6
iq,2004,18,8
iq,2004,19,8
iq,2004,20,2
iq,2004,21,4
iq,2004,22,5
iq,2004,23,4
iq,2004,24,3
iq,2004,25,1
iq,2004,26,2
iq,2004,27,2
iq,2004,28,2
iq,2004,29,4
iq,2004,30,4
iq,2004,31,1
iq,2004,32,4
iq,2004,33,1
iq,2004,34,4
iq,2004,35,4
iq,2004,36,4
iq,2004,37,8
iq,2004,38,5
iq,2004,39,4
iq,2004,40,6
iq,2004,41,4
iq,2004,42,6
iq,2004,43,5
iq,2004,44,4
iq,2004,45,6
iq,2004,46,5
iq,2004,47,5
iq,2004,48,8
iq,2004,49,8
iq,2004,50,6
iq,2004,51,6
iq,2004,52,6
iq,2005,53,8
iq,2005,1,8
iq,2005,2,5
iq,2005,3,6
iq,2005,4,6
iq,2005,5,8
iq,2005,6,6
iq,2005,7,6
iq,2005,8,6
iq,2005,9,6
iq,2005,10,8
iq,2005,11,5
iq,2005,12,6
iq,2005,13,6
iq,2005,14,5
iq,2005,15,8
iq,2005,16,8
iq,2005,17,6
iq,2005,18,8
iq,2005,19,6
iq,2005,20,8
iq,2005,21,4
iq,2005,22,4
iq,2005,23,8
iq,2005,24,4
iq,2005,25,3
iq,2005,26,4
iq,2005,27,3
iq,2005,28,4
iq,2005,29,4
iq,2005,30,4
iq,2005,31,4
iq,2005,32,4
iq,2005,33,4
iq,2005,34,4
iq,2005,35,4
iq,2005,36,4
iq,2005,37,3
iq,2005,38,3
iq,2005,39,6
iq,2005,40,4
iq,2005,41,4
iq,2005,42,4
iq,2005,43,4
iq,2005,44,6
iq,2005,45,5
iq,2005,46,6
iq,2005,47,6
iq,2005,48,6
iq,2005,49,6
iq,2005,50,6
iq,2005,51,8
iq,2006,52,6
iq,2006,1,3
iq,2006,2,6
iq,2006,3,8
