city,year,weekofyear,total_cases
sj,1990,18,4
sj,1990,19,10
sj,1990,20,14
sj,1990,21,13
sj,1990,22,13
sj,1990,23,18
sj,1990,24,16
sj,1990,25,18
sj,1990,26,16
sj,1990,27,22
sj,1990,28,15
sj,1990,29,16
sj,1990,30,16
sj,1990,31,14
sj,1990,32,20
sj,1990,33,19
sj,1990,34,19
sj,1990,35,20
sj,1990,36,17
sj,1990,37,19
sj,1990,38,18
sj,1990,39,20
sj,1990,40,20
sj,1990,41,20
sj,1990,42,17
sj,1990,43,14
sj,1990,44,16
sj,1990,45,18
sj,1990,46,16
sj,1990,47,12
sj,1990,48,8
sj,1990,49,13
sj,1990,50,2
sj,1990,51,7
sj,1990,52,6
sj,1991,1,-1
sj,1991,2,8
sj,1991,3,5
sj,1991,4,0
sj,1991,5,1
sj,1991,6,4
sj,1991,7,-4
sj,1991,8,3
sj,1991,9,4
sj,1991,10,4
sj,1991,11,2
sj,1991,12,5
sj,1991,13,6
sj,1991,14,3
sj,1991,15,5
sj,1991,16,6
sj,1991,17,8
sj,1991,18,12
sj,1991,19,13
sj,1991,20,13
sj,1991,21,13
sj,1991,22,14
sj,1991,23,16
sj,1991,24,18
sj,1991,25,21
sj,1991,26,16
sj,1991,27,16
sj,1991,28,20
sj,1991,29,21
sj,1991,30,22
sj,1991,31,21
sj,1991,32,20
sj,1991,33,25
sj,1991,34,21
sj,1991,35,21
sj,1991,36,21
sj,1991,37,19
sj,1991,38,22
sj,1991,39,20
sj,1991,40,18
sj,1991,41,17
sj,1991,42,19
sj,1991,43,17
sj,1991,44,19
sj,1991,45,15
sj,1991,46,13
sj,1991,47,13
sj,1991,48,12
sj,1991,49,16
sj,1991,50,11
sj,1991,51,10
sj,1991,52,0
sj,1992,1,7
sj,1992,2,8
sj,1992,3,7
sj,1992,4,3
sj,1992,5,5
sj,1992,6,0
sj,1992,7,6
sj,1992,8,7
sj,1992,9,8
sj,1992,10,4
sj,1992,11,7
sj,1992,12,7
sj,1992,13,8
sj,1992,14,8
sj,1992,15,9
sj,1992,16,12
sj,1992,17,9
sj,1992,18,10
sj,1992,19,8
sj,1992,20,14
sj,1992,21,14
sj,1992,22,15
sj,1992,23,16
sj,1992,24,18
sj,1992,25,16
sj,1992,26,19
sj,1992,27,22
sj,1992,28,21
sj,1992,29,19
sj,1992,30,18
sj,1992,31,16
sj,1992,32,18
sj,1992,33,15
sj,1992,34,19
sj,1992,35,19
sj,1992,36,20
sj,1992,37,18
sj,1992,38,20
sj,1992,39,16
sj,1992,40,17
sj,1992,41,19
sj,1992,42,19
sj,1992,43,20
sj,1992,44,17
sj,1992,45,16
sj,1992,46,15
sj,1992,47,12
sj,1992,48,15
sj,1992,49,13
sj,1992,50,13
sj,1992,51,9
sj,1992,52,8
sj,1993,53,10
sj,1993,1,10
sj,1993,2,7
sj,1993,3,5
sj,1993,4,4
sj,1993,5,5
sj,1993,6,2
sj,1993,7,5
sj,1993,8,0
sj,1993,9,2
sj,1993,10,-4
sj,1993,11,7
sj,1993,12,6
sj,1993,13,8
sj,1993,14,7
sj,1993,15,9
sj,1993,16,6
sj,1993,17,12
sj,1993,18,13
sj,1993,19,11
sj,1993,20,13
sj,1993,21,17
sj,1993,22,16
sj,1993,23,23
sj,1993,24,17
sj,1993,25,16
sj,1993,26,21
sj,1993,27,19
sj,1993,28,16
sj,1993,29,19
sj,1993,30,17
sj,1993,31,20
sj,1993,32,22
sj,1993,33,20
sj,1993,34,18
sj,1993,35,20
sj,1993,36,18
sj,1993,37,19
sj,1993,38,19
sj,1993,39,21
sj,1993,40,19
sj,1993,41,21
sj,1993,42,19
sj,1993,43,19
sj,1993,44,18
sj,1993,45,16
sj,1993,46,16
sj,1993,47,12
sj,1993,48,12
sj,1993,49,11
sj,1993,50,11
sj,1993,51,11
sj,1994,52,10
sj,1994,1,10
sj,1994,2,7
sj,1994,3,6
sj,1994,4,8
sj,1994,5,5
sj,1994,6,7
sj,1994,7,5
sj,1994,8,5
sj,1994,9,3
sj,1994,10,7
sj,1994,11,6
sj,1994,12,3
sj,1994,13,8
sj,1994,14,9
sj,1994,15,7
sj,1994,16,9
sj,1994,17,11
sj,1994,18,14
sj,1994,19,16
sj,1994,20,14
sj,1994,21,19
sj,1994,22,16
sj,1994,23,17
sj,1994,24,20
sj,1994,25,19
sj,1994,26,19
sj,1994,27,16
sj,1994,28,17
sj,1994,29,19
sj,1994,30,18
sj,1994,31,17
sj,1994,32,19
sj,1994,33,21
sj,1994,34,21
sj,1994,35,22
sj,1994,36,20
sj,1994,37,20
sj,1994,38,21
sj,1994,39,17
sj,1994,40,21
sj,1994,41,17
sj,1994,42,19
sj,1994,43,16
sj,1994,44,20
sj,1994,45,15
sj,1994,46,15
sj,1994,47,17
sj,1994,48,11
sj,1994,49,12
sj,1994,50,11
sj,1994,51,11
sj,1995,52,11
sj,1995,1,1
sj,1995,2,9
sj,1995,3,3
sj,1995,4,3
sj,1995,5,5
sj,1995,6,2
sj,1995,7,6
sj,1995,8,8
sj,1995,9,3
sj,1995,10,5
sj,1995,11,4
sj,1995,12,-6
sj,1995,13,-5
sj,1995,14,-2
sj,1995,15,12
sj,1995,16,6
sj,1995,17,6
sj,1995,18,10
sj,1995,19,14
sj,1995,20,13
sj,1995,21,14
sj,1995,22,16
sj,1995,23,15
sj,1995,24,18
sj,1995,25,19
sj,1995,26,21
sj,1995,27,20
sj,1995,28,19
sj,1995,29,23
sj,1995,30,21
sj,1995,31,20
sj,1995,32,21
sj,1995,33,23
sj,1995,34,19
sj,1995,35,22
sj,1995,36,20
sj,1995,37,21
sj,1995,38,21
sj,1995,39,24
sj,1995,40,18
sj,1995,41,20
sj,1995,42,18
sj,1995,43,16
sj,1995,44,17
sj,1995,45,16
sj,1995,46,16
sj,1995,47,15
sj,1995,48,17
sj,1995,49,13
sj,1995,50,14
sj,1995,51,12
sj,1996,1,11
sj,1996,2,10
sj,1996,3,9
sj,1996,4,9
sj,1996,5,2
sj,1996,6,6
sj,1996,7,5
sj,1996,8,8
sj,1996,9,7
sj,1996,10,3
sj,1996,11,10
sj,1996,12,6
sj,1996,13,7
sj,1996,14,7
sj,1996,15,8
sj,1996,16,7
sj,1996,17,11
sj,1996,18,9
sj,1996,19,10
sj,1996,20,11
sj,1996,21,15
sj,1996,22,17
sj,1996,23,18
sj,1996,24,16
sj,1996,25,15
sj,1996,26,18
sj,1996,27,19
sj,1996,28,19
sj,1996,29,17
sj,1996,30,21
sj,1996,31,19
sj,1996,32,20
sj,1996,33,18
sj,1996,34,16
sj,1996,35,19
sj,1996,36,21
sj,1996,37,19
sj,1996,38,19
sj,1996,39,23
sj,1996,40,21
sj,1996,41,20
sj,1996,42,19
sj,1996,43,23
sj,1996,44,16
sj,1996,45,17
sj,1996,46,13
sj,1996,47,15
sj,1996,48,14
sj,1996,49,9
sj,1996,50,6
sj,1996,51,5
sj,1996,52,2
sj,1997,1,14
sj,1997,2,6
sj,1997,3,5
sj,1997,4,6
sj,1997,5,7
sj,1997,6,5
sj,1997,7,7
sj,1997,8,8
sj,1997,9,7
sj,1997,10,6
sj,1997,11,6
sj,1997,12,5
sj,1997,13,4
sj,1997,14,5
sj,1997,15,3
sj,1997,16,2
sj,1997,17,8
sj,1997,18,13
sj,1997,19,16
sj,1997,20,12
sj,1997,21,17
sj,1997,22,16
sj,1997,23,15
sj,1997,24,19
sj,1997,25,20
sj,1997,26,21
sj,1997,27,21
sj,1997,28,22
sj,1997,29,21
sj,1997,30,20
sj,1997,31,18
sj,1997,32,22
sj,1997,33,20
sj,1997,34,21
sj,1997,35,20
sj,1997,36,22
sj,1997,37,24
sj,1997,38,24
sj,1997,39,21
sj,1997,40,18
sj,1997,41,20
sj,1997,42,17
sj,1997,43,16
sj,1997,44,21
sj,1997,45,20
sj,1997,46,16
sj,1997,47,21
sj,1997,48,19
sj,1997,49,17
sj,1997,50,17
sj,1997,51,16
sj,1997,52,14
sj,1998,1,16
sj,1998,2,16
sj,1998,3,9
sj,1998,4,11
sj,1998,5,13
sj,1998,6,10
sj,1998,7,14
sj,1998,8,5
sj,1998,9,12
sj,1998,10,5
sj,1998,11,9
sj,1998,12,7
sj,1998,13,11
sj,1998,14,11
